0,Fri Oct 28 17:07:39 EDT 2016,true,grail\CommandInterpreter.java,typeDefined,CommandInterpreter,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\BoundedShapeInterface.java,typeDefined,BoundedShapeInterface,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,grail\AvatarInterface.java,typeDefined,AvatarInterface,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,grail\BridgeInterface.java,typeDefined,BridgeInterface,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\Start.java,typeDefined,Start,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\Number.java,typeDefined,Number,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\Quote.java,typeDefined,Quote,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\LocatableInterface.java,typeDefined,LocatableInterface,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,grail\Table.java,typeDefined,Table,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\Fail.java,typeDefined,Fail,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\Locatable.java,typeDefined,Locatable,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\End.java,typeDefined,End,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\Repeat.java,typeDefined,Repeat,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,grail\BridgeScene.java,typeDefined,BridgeScene,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,grail\AngleInterface.java,typeDefined,AngleInterface,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\Approach.java,typeDefined,Approach,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,grail\TableInterface.java,typeDefined,TableInterface,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,grail\Angle.java,typeDefined,Angle,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\Pass.java,typeDefined,Pass,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\BoundedShape.java,typeDefined,BoundedShape,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,grail\Avatar.java,typeDefined,Avatar,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\TokenNum.java,typeDefined,TokenNum,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\Word.java,typeDefined,Word,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\TokenWord.java,typeDefined,TokenWord,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\Move.java,typeDefined,Move,No Expected Tag
0,Fri Oct 28 17:07:39 EDT 2016,true,mp\tokens\Say.java,typeDefined,Say,No Expected Tag
9,Fri Oct 28 19:03:32 EDT 2016,true,grail\ConsoleSceneView.java,typeDefined,ConsoleSceneView,No Expected Tag
10,Fri Oct 28 19:09:14 EDT 2016,true,grail\ConsoleSceneView.java,typeDefined,ConsoleSceneView,@ConsoleSceneView
15,Fri Oct 28 19:27:20 EDT 2016,true,main\Assignment7.java,typeDefined,Assignment8,main.Assignment8
17,Fri Oct 28 19:37:10 EDT 2016,true,main\Assignment8.java,expectedTypes,[main.Assignment8, @ScannerBean, @Number, @Word, @Quote, @Start, @End, @Plus//EC, @Minus//EC, ScanningIterator//EC, @RotatingLine//EC, @Move, @Pass, @Approach, @Fail, @Say, @RotateLeftArm//EC, @RotateRightArm//EC, @Repeat//EC, @Define//EC, @Call//EC, @Thread//EC, @Wait//EC, @ProceedAll//EC, @Sleep//EC, @Undo//EC, @Redo//EC, @Angle, @Avatar, @BridgeScene, @Locatable, @BoundedShape, @Table, @CommandInterpreter, @SignedMoveCommandInterpreter//EC, @ErrorResilientCommandInterpreter//EC, @ConsoleSceneView, @Token, SingletonsCreator]
17,Fri Oct 28 19:37:10 EDT 2016,true,main\Assignment8.java,illegalTypeImported,Assignment8,grail.*,Assignment8
